rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
12892,DEU,Germany,GuD-Kraftwerk,WRI1005724,17.2,49.5307,8.4709,Gas,,,,2005.0,Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,66.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12903,DEU,Germany,HBB,WRI1005730,24.0,47.796,12.1193,Gas,,,,2001.0,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbh,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,93.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12905,DEU,Germany,"HKW ""Helmshäger Berg""",WRI1005769,14.7,54.0973,13.385,Gas,,,,1996.0,Energieerzeugungsgesellschaft Greifswald GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,56.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12906,DEU,Germany,HKW 1,WRI1005770,23.1,51.4707,6.8616,Gas,,,,1972.0,Energieversorgung Oberhausen AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,89.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12907,DEU,Germany,HKW 1 Werk Offstein,WRI1005771,30.0,49.5991,8.221,Gas,,,,1992.0,Südzucker AG Mannheim/Ochsenfurt,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1030523,,,,,,,,,,,,,,116.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12908,DEU,Germany,HKW 2,WRI1005772,24.5,51.4707,6.8616,Gas,,,,1995.0,Energieversorgung Oberhausen AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,94.94,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12910,DEU,Germany,HKW Bad Salzungen,WRI1005774,9.7,50.8003,10.2206,Gas,,,,1994.0,Thüringer Energie AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1031329,,,,,,,,,,,,,,37.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12911,DEU,Germany,HKW Barmen,WRI1005775,82.0,51.2689,7.2003,Gas,,,,2005.0,WSW Energie & Wasser AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1033521,,,,,,,,,,,,,,317.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12912,DEU,Germany,HKW Bohrhügel,WRI1005776,13.5,50.6315,10.6987,Gas,,,,1995.0,Stadtwerke Suhl/Zella-Mehlis GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1072888,,,,,,,,,,,,,,52.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12913,DEU,Germany,HKW Brandenburg,WRI1005767,36.0,51.5122,13.9711,Gas,,,,1997.0,Stadtwerke Brandenburg an der Havel GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,139.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12914,DEU,Germany,HKW Chemnitz  Nord II (Natural Gas),WRI1005778,57.2,50.857,12.9231,Gas,,,,1986.0,eins energie in sachsen GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,221.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12915,DEU,Germany,HKW Dresden-Nossener Brücke,WRI1005780,263.0,51.0421,13.7086,Gas,,,,1995.0,DREWAG Stadtwerke Dresden GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,1222.517,1478.562,1441.149,,,JRC-PPDB-OPEN,,,,,1019.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12916,DEU,Germany,HKW Eltmann,WRI1005782,57.0,49.984,10.6514,Gas,,,,2008.0,Palm Power GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,220.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12917,DEU,Germany,HKW Erfurt-Ost,WRI1005783,109.1,50.9848,11.0299,Gas,,,,,SWE Energie GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1043455,,,,,,,,,,,,,,422.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12919,DEU,Germany,HKW Erlangen (Natural Gas),WRI1005785,28.5,49.593,11.0016,Gas,,,,,Erlanger Stadtwerke AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1029839,,,,,,,,,,,,,,110.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12920,DEU,Germany,HKW Fenne  GrubenNatural Gaskraftwerk,WRI1005786,42.0,49.249,6.8792,Gas,,,,2003.0,STEAG New Energies GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,1358.779,962.789,,,JRC-PPDB-OPEN,,,,,162.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12921,DEU,Germany,HKW Freiberg,WRI1005768,27.0,48.0056,7.8423,Gas,,,,2001.0,Universitätsklinikum Freiburg AdöR,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1116378,,,,,,,,,,,,,,104.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12922,DEU,Germany,HKW Göttingen,WRI1005788,18.8,51.5534,9.9337,Gas,,,,1998.0,Georg-August-Universität Göttingen Stiftung Ã–ffentlichen Rechts,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,72.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12923,DEU,Germany,HKW Halle Trotha,WRI1005789,254.0,51.481,11.9643,Gas,,,,,EVH GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1022957,,,,,,,,,,,,,,984.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
